id,name,price,description,brand,rating,ratings,stock,category,picture
4157450,"Apple iPhone 17 Pro Techwoven deksel MagSafe, svart",799,Montert med fullstendig resirkulerte polyestermaterialer for ansvarlig beskyttelse,Apple,,,58,Deksel,4157450_4157450_6_1200x1200_t_g.webp
4157479,Apple iPhone 17 Pro Max Clear deksel MagSafe,629,Apple klart deksel med MagSafe,Apple,,,0,Deksel,4157479_4157479_4_1200x1200_t_g.webp
3377595,"Samsung Galaxy Z Flip7 FE/Flip6 Kindsuit-deksel, mintgrønn",999,Elegant Samsung-deksel,Samsung,3.25,4,6,Deksel,3377595_3377595_8_1200x1200_t_g.webp
3615159,"Apple iPhone 16 Pro silikondeksel MagSafe, svart",629,Silikondeksel med MagSafe,Apple,4.6923,13,54,Deksel,3615159_3615159_6_1200x1200_t_g.webp
3843724,"Samsung Galaxy S25 Ultra silikondeksel, grå",449,Stilig silikon-deksel,Samsung,2.1852,27,7,Deksel,3843724_3843724_7_2400x2400_t_g.webp
4157477,Apple iPhone 17 Pro Clear Case MagSafe,629,Apple klart deksel med MagSafe,Apple,,,82,Deksel,4157477_4157477_5_1200x1200_t_g.webp
4157456,"Apple iPhone 17 Pro Max Techwoven mobildeksel MagSafe, svart",799,Montert med fullstendig resirkulerte polyestermaterialer for ansvarlig beskyttelse,Apple,,,27,Deksel,4157456_4157456_4_1200x1200_t_g.webp
3615140,Apple iPhone 16 Pro Max klart deksel Magsafe,599,Apple klart deksel med MagSafe,Apple,4.1,10,35,Deksel,3615140_3615140_5_1200x1200_t_g.webp
4118340,"Ferrelli iPhone 17 Pro magnetisk deksel, gjennomsiktig",349,Gjennomsiktig magnetdeksel,Ferrelli,,,0,Deksel,4118340_4118340_10_1200x1200_t_g.webp
3615139,Apple iPhone 16 Pro klart deksel Magsafe,629,Apple klart deksel med MagSafe,Apple,3.5833,12,97,Deksel,3615139_3615139_6_1200x1200_t_g.webp
4157475,"Apple iPhone 17 Pro Max Silicone deksel MagSafe, svart",629,iPhone Silikondeksel,Apple,,,33,Deksel,4157475_4157475_4_1200x1200_t_g.webp
3615161,"Apple iPhone 16 Pro silikondeksel MagSafe, Steingrå",629,Silikondeksel med MagSafe,Apple,4.3333,3,34,Deksel,3615161_3615161_6_1200x1200_t_g.webp
4118334,"Tipi iPhone 17 Pro Max mobildeksel, transparent",199,Pålitelig 1 m fallbeskyttelse med transparent design,Tipi,,,0,Deksel,4118334_4118334_6_2400x2400_t_g.webp
3843732,"Samsung Galaxy S25 Ultra Kindsuit-deksel, svart",699,Elegant Samsung-deksel,Samsung,1.9474,19,6,Deksel,3843732_3843732_7_2400x2400_t_g.webp
3615169,"Apple iPhone 16 Pro Max silikondeksel MagSafe, Steingrå",629,Silikondeksel med MagSafe,Apple,4.3333,3,16,Deksel,3615169_3615169_5_1200x1200_t_g.webp
3615167,"Apple iPhone 16 Pro Max silikondeksel MagSafe, svart",579,Silikondeksel med MagSafe,Apple,4.4,10,40,Deksel,3615167_3615167_4_1200x1200_t_g.webp
3536024,"Apple iPhone 15 silikondeksel MagSafe Lys, rosa",629,Silikondeksel med MagSafe,Apple,,,17,Deksel,3536024_3536024_7_1200x1200_t_g.webp
4157468,"Apple iPhone 17 Pro Silikondeksel MagSafe, svart",629,iPhone Silikondeksel,Apple,,,9,Deksel,4157468_4157468_6_1200x1200_t_g.webp
4157447,"Apple iPhone 17 Silicone-deksel MagSafe, svart",629,iPhone Silikondeksel,Apple,,,8,Deksel,4157447_4157447_7_1200x1200_t_g.webp
3615168,"Apple iPhone 16 Pro Max silikondeksel MagSafe, Denim",579,Silikondeksel med MagSafe,Apple,"{'source': '5.0', 'parsedValue': 5}",2,1,Deksel,3615168_3615168_5_1200x1200_t_g.webp
4117311,"NUDIENT iPhone 17 Pro Thin deksel MagSafe, svart",399,Beskyttelsesdeksel laget av resirkulert plast,NUDIENT,,,165,Deksel,4117311_4117311_5_2400x2400_t_g.webp
4157448,Apple iPhone 17 Clear Case MagSafe,629,Apple klart deksel med MagSafe,Apple,,,8,Deksel,4157448_4157448_7_1200x1200_t_g.webp
4157489,"Apple Crossbody Strap, svart",799,Håndfri crossbody-design gir optimal lettvinthet for enkel bæring av enheten,Apple,,,15,Deksel,4157489_4157489_4_1200x1200_t_g.webp
4118332,"Tipi iPhone 17 Pro mobildeksel, transparent",199,Pålitelig 1 m fallbeskyttelse med transparent design,Tipi,,,4,Deksel,4118332_4118332_6_1200x1200_t_g.webp
4118328,"Tipi iPhone 17 mobildeksel, transparent",199,Pålitelig 1 m fallbeskyttelse med transparent design,Tipi,,,0,Deksel,4118328_4118328_5_1200x1200_t_g.webp
4118364,"Ferrelli iPhone 17 Pro Max Drop deksel Mag-deksel, svart/oransje",399,Støtabsorberende teknologi gir enestående beskyttelse mot kraftige fall og støt,Ferrelli,,,84,Deksel,4118364_4118364_10_1200x1200_t_g.webp
4117315,"NUDIENT iPhone 17 Pro Max Thin deksel MagSafe, svart",399,Beskyttelsesdeksel laget av resirkulert plast,NUDIENT,,,5,Deksel,4117315_4117315_6_2400x2400_t_g.webp
2342097,"Ideal Clear deksel iPhone 16e/15/14/13 MagSafe, Tinted Black",399,Gjennomsiktig smarttelefondeksel,IDEAL OF SWEDEN,4.0455,22,201,Deksel,2342097_2342097_1_1200x1200_t_g.webp
4157467,"Apple iPhone 17 Pro Silikondeksel MagSafe, terra cotta",629,iPhone Silikondeksel,Apple,,,0,Deksel,4157467_4157467_5_1200x1200_t_g.webp
4157444,"Apple iPhone 17 silikondeksel MagSafe, anchor blue",629,iPhone Silikondeksel,Apple,,,0,Deksel,4157444_4157444_7_1200x1200_t_g.webp
2331942,"Ferrelli iPhone 15 Pro magnetisk deksel, gjennomsiktig",171,Gjennomsiktig magnetdeksel,Ferrelli,4.4559,68,0,Deksel,2331942_2331942_11_1200x1200_t_g.webp
4029702,"Screenor HONOR Magic7 Lite Smart lommebok-flippetui, svart",299,Praktisk beskyttelse,Screenor,3.5,14,3,Deksel,4029702_4029702_9_600x600_t_g.webp
4157465,"Apple iPhone 17 Pro Silicone deksel MagSafe, purple fog",629,iPhone Silikondeksel,Apple,,,19,Deksel,4157465_4157465_5_1200x1200_t_g.webp
3400661,"Ferrelli iPhone 16 magnetisk deksel, gjennomsiktig",349,Gjennomsiktig magnetdeksel,Ferrelli,4.4464,56,1347,Deksel,3400661_3400661_18_2400x2400_t_g.webp
3377593,"Samsung Galaxy Z Flip7 FE/Flip6 Clear Case deksel med ring, gjennomsiktig",263,Originalt Samsung -tilbehør,Samsung,3.7895,19,9,Deksel,3377593_3377593_8_1200x1200_t_g.webp
4118355,"Ferrelli iPhone 17 Pro Max magnetisk Liquid silikon deksel, rosa",349,Magnetisk silikon deksel,Ferrelli,,,4,Deksel,4118355_4118355_10_2400x2400_t_g.webp
