id,name,price,description,brand,rating,ratings,stock,category,picture
3832128,"Samsung Galaxy S25 Ultra 256 GB, Titanium Black",17990,Forbedret Galaxy AI gjør livet ditt enklere og mer smidig,Samsung,4.8787,23812,112,Mobiltelefon,3832128_3832128_24_2400x2400_t_g.webp
3832143,"Samsung Galaxy S25 128 GB, Navy",11490,Forbedret Galaxy AI gjør livet ditt enklere og mer smidig,Samsung,4.7997,8214,715,Mobiltelefon,3832143_3832143_14_1200x1200_t_g.webp
3832138,"Samsung Galaxy S25+ 256 GB, Silver Shadow",14490,Forbedret Galaxy AI gjør livet ditt enklere og mer smidig,Samsung,4.6787,1052,17,Mobiltelefon,3832138_3832138_14_2400x2400_t_g.webp
4157297,"Apple iPhone 17 Pro 256 GB, dypblå",15990,Den ultimate Pro. ,Apple,,,0,Mobiltelefon,4157297_4157297_2_1200x1200_t_g.webp
4157177,"Apple iPhone 17 256 GB, svart",11990,Spektakulør. ,Apple,,,0,Mobiltelefon,4157177_4157177_2_1200x1200_t_g.webp
2668232,"Apple iPhone 15 128 GB, svart",7989,iPhone 15. Dynamisk. Magisk.,Apple,4.4535,1636,989,Mobiltelefon,2668232_2668232_10_1200x1200_t_g.webp
4157306,"Apple iPhone 17 Pro Max 256 GB, kosmisk oransje",17990,Den ultimate Pro. ,Apple,,,0,Mobiltelefon,4157306_4157306_2_2400x2400_t_g.webp
4157296,"Apple iPhone 17 Pro 256 GB, kosmisk oransje",15990,Den ultimate Pro. ,Apple,,,0,Mobiltelefon,4157296_4157296_2_1200x1200_t_g.webp
1126077,"Doro 7001H (4G), grå",891,Brukervennlig trådløs telefon for mobilnettet,Doro,"{'source': '4.0', 'parsedValue': 4}",12,0,Mobiltelefon,1126077_1126077_6_900x900_t_g.webp
2651945,"Doro 1881 4G mobiltelefon, rød",995,Perfekt telefon for eldre brukere,Doro,4.0231,130,0,Mobiltelefon,2651945_2651945_9_900x900_t_g.webp
1302904,Doro 6881 4G mobiltelefon svart/hvit,1795,Mobiltelefon for hverdagens samtaler og tekstmeldinger,Doro,4.2735,117,0,Mobiltelefon,1302904_1302904_3_900x900_w_g.webp
1126075,"Doro 731X 4G, graphite mobiltelefon",1687,Slitesterk mobiltelefon for aktive eldre,Doro,3.5758,33,0,Mobiltelefon,1126075_1126075_2_900x900_t_g.webp
1126076,Doro 780X (4G) svart/hvit,1995,Enkel å bruke mobiltelefon med sikkerhetsfunksjoner,Doro,2.7812,32,0,Mobiltelefon,1126076_1126076_6_900x900_t_g.webp
2243519,"Doro 8210 4/64 GB smarttelefon, mørkeblå",3495,Smarttelefon utviklet for eldre mennesker,Doro,3.6974,76,0,Mobiltelefon,2243519_2243519_3_1200x1200_t_g.webp
1302903,Doro 6881 4G mobiltelefon rød/hvit,1795,Mobiltelefon for hverdagens samtaler og tekstmeldinger,Doro,4.0992,121,0,Mobiltelefon,1302903_1302903_10_900x900_t_g.webp
1302901,"Doro 6821 4G mobiltelefon, svart",1595,Mobiltelefon for hverdagens samtaler og tekstmeldinger,Doro,4.25,16,0,Mobiltelefon,1302901_1302901_2_900x900_w_g.webp
