id,name,price,description,brand,rating,ratings,stock,category,picture
2607809,"Garmin Vivoactive 5 smartklokke, cream, gold Ivory AMOLED",2606,Holder deg oppdatert på helsen og velværet din,Garmin,4.3648,1601,0,Sportsklokke,2607809_2607809_8_1200x1200_t_g.webp
2543377,Garmin Venu 3S smartklokke French Gray/soft gold,4604,Førsteklasses smartklokke for treningssporing og velværeovervåking,Garmin,4.4469,875,302,Smartklokke,2543377_2543377_1_1200x1200_t_g.webp
4157258,"Apple Watch Ultra 3 GPS + Cell 49 mm svart titan, svart Ocean Band",10990,Den ultimate klokken for sport og store opplevelser,Apple,,,18,Smartklokke,4157258_4157258_2_2400x2400_t_g.webp
4141654,"HUAWEI WATCH GT 6 Pro 46 mm smartklokke, svart",4199,Utvidet batteritid på 21 dager gir enestående utholdenhet for din aktive livsstil,Huawei,,,141,Smartklokke,4141654_4141654_9_2400x2400_t_g.webp
1188798,"Garmin Forerunner 55 GPS Løpeklokke, hvit",1649,For folk i alle aldre som ønsker å forbedre kondisjonen,Garmin,4.2389,113,0,Sportsklokke,1188798_1188798_19_600x600_t_g.webp
4088955,"Garmin Vivoactive 6 sportsklokke, bone/gold AMOLED",3360,Spor eventyrene dine med enestående nøyaktighet ved hjelp av det integrerte GPS-systemet,Garmin,4.4651,43,1,Sportsklokke,4088955_4088955_6_2400x2400_t_g.webp
3375019,"Samsung Galaxy Watch7 40 mm BT, beige",3790,"Galaxy AI, nå på smartklokken din",Samsung,3.8992,129,5,Smartklokke,3375019_3375019_7_1200x1200_t_g.webp
3614904,"Apple Watch SE GPS 40 mm stjerneskinn alum, stjerneskinn Sport Band - S/M",2487,Mer å sette pris på. For mindre.,Apple,4.2442,217,732,Smartklokke,3614904_3614904_2_1200x1200_t_g.webp
4157248,"Apple Watch Ultra 3 GPS + Cell 49 mm naturlig titan, Ocean Band",10990,Den ultimate klokken for sport og store opplevelser,Apple,,,0,Smartklokke,4157248_4157248_2_2400x2400_t_g.webp
2543379,Garmin Venu 3S smartklokke Ivory/soft gold,4604,Førsteklasses smartklokke for treningssporing og velværeovervåking,Garmin,4.426,723,299,Smartklokke,2543379_2543379_7_1200x1200_t_g.webp
2607808,"Garmin Vivoactive 5 smartklokke, black Slate AMOLED",2606,Holder deg oppdatert på helsen og velværet din,Garmin,4.3367,1568,0,Sportsklokke,2607808_2607808_4_1200x1200_t_g.webp
1188797,"Garmin Forerunner 55 GPS Løpeklokke, svart",1649,For folk i alle aldre som ønsker å forbedre kondisjonen,Garmin,4.2639,288,257,Sportsklokke,1188797_1188797_19_600x600_t_g.webp
4157174,"Apple Watch SE 3 GPS 40 mm stjerneskinn aluminum, stjerneskinn sport band - S/M",3190,Viktige helsefunksjoner til en god pris. ,Apple,,,0,Smartklokke,4157174_4157174_5_2400x2400_t_g.webp
4141657,"HUAWEI WATCH GT 6 Pro 46 mm smartklokke, titan",5599,Utvidet batteritid på 21 dager gir enestående utholdenhet for din aktive livsstil,Huawei,,,49,Smartklokke,4141657_4141657_7_2400x2400_t_g.webp
1921297,Garmin Vivomove Trend Hybrid smartklokke Ivory peach,2290,Stilig hybrid smartklokke med fysiske visere og berøringsskjerm,Garmin,3.8765,251,89,Smartklokke,1921297_1921297_8_1200x1200_t_g.webp
3375020,"Samsung Galaxy Watch7 40 mm BT, grønn",3790,"Galaxy AI, nå på smartklokken din",Samsung,4.1654,133,3,Smartklokke,3375020_3375020_7_1200x1200_t_g.webp
4088953,"Garmin Vivoactive 6 sportsklokke, svart/slate AMOLED",3360,Spor eventyrene dine med enestående nøyaktighet ved hjelp av det integrerte GPS-systemet,Garmin,4.319,210,18,Sportsklokke,4088953_4088953_8_2400x2400_t_g.webp
3051407,"Garmin Forerunner 165 smartklokke for løping AMOLED, svart/grå",2490,Hvert skritt tar deg nærmere målene dine,Garmin,4.5186,430,366,Sportsklokke,3051407_3051407_1_1200x1200_t_g.webp
2845111,"Triacle Arena Lite One smartklokke, svart/svart",699,En allsidig smartklokke med stilig design og omfattende funksjoner for overvåking av velvære,Triacle,3.7658,649,857,Smartklokke,2845111_2845111_1_1200x1200_t_g.webp
3435573,"ZTE klokke for barn K1 Pro, rosa",1590,Smartklokke for barn,ZTE,3.6446,166,0,Smartklokke,3435573_3435573_6_1200x1200_t_g.webp
4141651,"HUAWEI WATCH GT 6 46 mm smartklokke, svart",2899,Utvidet 21-dagers batteritid gir enestående utholdenhet for din aktive livsstil,Huawei,,,247,Smartklokke,4141651_4141651_6_2400x2400_t_g.webp
4141656,"HUAWEI WATCH GT 6 Pro 46 mm smartklokke, brun",4199,Utvidet batteritid på 21 dager gir enestående utholdenhet for din aktive livsstil,Huawei,,,0,Smartklokke,4141656_4141656_6_2400x2400_t_g.webp
3781540,"Garmin Forerunner 265 GPS-løpesmartklokke, svart",4759,Tren smartere med over 30 treningsprofiler,Garmin,4.6364,22,75,Sportsklokke,3781540_3781540_7_2400x2400_t_g.webp
4157206,"Apple Watch Series 11 GPS 46 mm stellargrå aluminum, svart sport band - M/L",5890,Få uvurderlig innsikt i helsen din. ,Apple,,,75,Smartklokke,4157206_4157206_10_2400x2400_t_g.webp
4167393,"Garmin Venu 4 41 mm smartklokke, lys gull/bone",6790,Utvidet 10-dagers batteritid gir uavbrutt helseovervåking og treningssporing,Garmin,,,159,Smartklokke,4167393_4167393_19_2400x2400_t_g.webp
3122026,"HUAWEI WATCH FIT 3 smartklokke, svart",1699,"Omfattende funksjoner for trening, helse og livsstil",Huawei,4.2287,223,19,Smartklokke,3122026_3122026_8_1200x1200_t_g.webp
2845112,"Triacle Arena Lite One smartklokke, rosa/rosa",699,En allsidig smartklokke med stilig design og omfattende funksjoner for overvåking av velvære,Triacle,3.7658,649,28,Smartklokke,2845112_2845112_2_1200x1200_t_g.webp
3384225,"Triacle Arena Two Special Edition smartklokke, svart",1299,"Moderne fitness-smartklokke med pulsmåling, søvnovervåking og allsidige sportsmoduser",Triacle,3.6994,316,978,Smartklokke,3384225_3384225_7_1200x1200_t_g.webp
2543375,"Garmin Venu 3S smartklokke, black sesame/slate",4598,Førsteklasses smartklokke for treningssporing og velværeovervåking,Garmin,4.4037,649,0,Smartklokke,2543375_2543375_1_1200x1200_t_g.webp
3614898,"Apple Watch SE GPS 40 mm midnatt alum, midnatt Sport Band - S/M",2387,Mer å sette pris på. For mindre.,Apple,4.1081,148,429,Smartklokke,3614898_3614898_2_2400x2400_t_g.webp
3522345,"Garmin Fenix 8 47 mm GPS-smartklokke, skifergrå stål/svart",10990,Slitesterk smartklokke for avansert trening,Garmin,4.2778,90,67,Sportsklokke,3522345_3522345_1_1200x1200_t_g.webp
2607810,Garmin Vivoactive 5 smartklokke Orchid AMOLED,2606,Holder deg oppdatert på helsen og velværet din,Garmin,4.356,1264,0,Sportsklokke,2607810_2607810_7_1200x1200_t_g.webp
4141661,"HUAWEI WATCH GT 6 41 mm smartklokke, gull",3199,Utvidet 14-dagers batteritid gir enestående utholdenhet for din aktive livsstil,Huawei,,,160,Smartklokke,4141661_4141661_7_2400x2400_t_g.webp
3384226,"Triacle Arena Two Special Edition smartklokke, gull/hvit",1299,"Moderne fitness-smartklokke med pulsmåling, søvnovervåking og allsidige sportsmoduser",Triacle,3.6994,316,1608,Smartklokke,3384226_3384226_10_1200x1200_t_g.webp
3051408,"Garmin Forerunner 165 smartklokke for løping AMOLED, grå/hvit",2490,Hvert skritt tar deg nærmere målene dine,Garmin,4.5091,383,128,Sportsklokke,3051408_3051408_5_1200x1200_t_g.webp
3435572,"ZTE klokke for barn K1 Pro, grå",1590,Smartklokke for barn,ZTE,3.3274,113,11,Smartklokke,3435572_3435572_4_1200x1200_t_g.webp
